"","Species","lon","lat","Presence"
"452","Araucaria_angustifolia",-49.995353,-28.822578,1
"453","Araucaria_angustifolia",-49.994922,-28.822178,1
"454","Araucaria_angustifolia",-49.994678,-28.821778,1
"455","Araucaria_angustifolia",-49.994497,-28.821275,1
"456","Araucaria_angustifolia",-49.993931,-28.821,1
"457","Araucaria_angustifolia",-49.993372,-28.820997,1
"458","Araucaria_angustifolia",-49.993025,-28.821525,1
"459","Araucaria_angustifolia",-49.992606,-28.821233,1
"460","Araucaria_angustifolia",-49.992272,-28.820867,1
"461","Araucaria_angustifolia",-49.991997,-28.820483,1
"462","Araucaria_angustifolia",-49.991717,-28.820056,1
"463","Araucaria_angustifolia",-49.991217,-28.819764,1
"464","Araucaria_angustifolia",-49.992519,-28.821814,1
"465","Araucaria_angustifolia",-49.992133,-28.822242,1
"466","Araucaria_angustifolia",-49.991706,-28.822428,1
"467","Araucaria_angustifolia",-49.990606,-28.822194,1
"468","Araucaria_angustifolia",-49.990236,-28.822525,1
"469","Araucaria_angustifolia",-49.990281,-28.823289,1
"470","Araucaria_angustifolia",-49.990006,-28.823872,1
"471","Araucaria_angustifolia",-49.991017,-28.824228,1
"472","Araucaria_angustifolia",-49.991508,-28.824167,1
"473","Araucaria_angustifolia",-49.992078,-28.824014,1
"474","Araucaria_angustifolia",-49.992575,-28.823897,1
"475","Araucaria_angustifolia",-49.993117,-28.823744,1
"476","Araucaria_angustifolia",-49.993594,-28.823997,1
"477","Araucaria_angustifolia",-49.9938,-28.823569,1
"478","Araucaria_angustifolia",-49.994331,-28.823631,1
"479","Araucaria_angustifolia",-49.994867,-28.823753,1
"480","Araucaria_angustifolia",-49.995394,-28.823597,1
"481","Araucaria_angustifolia",-50.064044,-28.784592,1
"482","Araucaria_angustifolia",-50.064636,-28.784844,1
"483","Araucaria_angustifolia",-50.065128,-28.784911,1
"484","Araucaria_angustifolia",-50.065681,-28.784556,1
"485","Araucaria_angustifolia",-50.066464,-28.784328,1
"486","Araucaria_angustifolia",-50.067381,-28.784411,1
"487","Araucaria_angustifolia",-50.065664,-28.784019,1
"488","Araucaria_angustifolia",-50.065858,-28.783378,1
"489","Araucaria_angustifolia",-50.066014,-28.782925,1
"490","Araucaria_angustifolia",-50.066189,-28.782358,1
"491","Araucaria_angustifolia",-50.065917,-28.781892,1
"492","Araucaria_angustifolia",-50.066378,-28.781842,1
"493","Araucaria_angustifolia",-50.066694,-28.781308,1
"494","Araucaria_angustifolia",-50.066375,-28.780561,1
"495","Araucaria_angustifolia",-50.065894,-28.780353,1
"496","Araucaria_angustifolia",-50.065008,-28.78,1
"497","Araucaria_angustifolia",-50.064319,-28.779903,1
"498","Araucaria_angustifolia",-50.064456,-28.779272,1
